Sequence_ID,Direction,Sender,Recipient,Packet_Type,Transmission_Timestamp
1,DOWNLINK,0,"23,",CNTRL-CTA,0.001000922520130072
2,UPLINK,23,0,CNTRL-RTS,0.001000977184293429
3,DOWNLINK,0,"23,",CNTRL-CTS,0.0010018450402601439
4,UPLINK,23,0,DATA-ULDATA,0.0010018450402601439
5,DOWNLINK,0,"23,",CNTRL-ACK,0.0010035766318898204
7,DOWNLINK,0,"19,",CNTRL-CTA,0.0010044991520198924
8,UPLINK,19,0,CNTRL-RTS,0.0010045386216389726
9,DOWNLINK,0,"19,",CNTRL-CTS,0.0010054216721499642
10,UPLINK,19,0,DATA-ULDATA,0.0010054216721499642
11,DOWNLINK,0,"19,",CNTRL-ACK,0.0010071532637796407
13,DOWNLINK,0,"20,",CNTRL-CTA,0.0010080757839097127
14,UPLINK,20,0,CNTRL-RTS,0.0010081138211038435
15,DOWNLINK,0,"20,",CNTRL-CTS,0.0010089983040397846
16,UPLINK,20,0,DATA-ULDATA,0.0010089983040397846
17,DOWNLINK,0,"20,",CNTRL-ACK,0.001010729895669461
18,DOWNLINK,0,"12,21,",CNTRL-CTA,0.001010729895669461
19,UPLINK,21,0,CNTRL-RTS,0.001010754014890354
20,DOWNLINK,0,"21,",CNTRL-CTS,0.0010116524157995329
21,UPLINK,21,0,DATA-ULDATA,0.0010116524157995329
22,DOWNLINK,0,"21,",CNTRL-ACK,0.0010133840074292094
29,DOWNLINK,0,"8,10,11,",CNTRL-CTA,0.0010189191282096415
30,UPLINK,8,0,CNTRL-RTS,0.0010189724446637524
31,UPLINK,10,0,CNTRL-RTS,0.001018940911798963
32,UPLINK,11,0,CNTRL-RTS,0.0010189722884721164
33,DOWNLINK,0,"8,10,11,",CNTRL-CTS,0.0010198416483397134
34,UPLINK,8,0,DATA-ULDATA,0.0010198416483397134
35,UPLINK,10,0,DATA-ULDATA,0.0010215732399693899
36,UPLINK,11,0,DATA-ULDATA,0.0010233048315990664
37,DOWNLINK,0,"8,10,11,",CNTRL-ACK,0.0010250364232287429
39,DOWNLINK,0,"5,27,",CNTRL-CTA,0.0010259589433588149
40,UPLINK,27,0,CNTRL-RTS,0.0010259910918551393
41,DOWNLINK,0,"27,",CNTRL-CTS,0.0010268814634888867
42,UPLINK,27,0,DATA-ULDATA,0.0010268814634888867
43,DOWNLINK,0,"27,",CNTRL-ACK,0.0010286130551185632
46,DOWNLINK,0,"16,18,",CNTRL-CTA,0.0010304580953787073
47,UPLINK,16,0,CNTRL-RTS,0.0010305008455920158
48,UPLINK,18,0,CNTRL-RTS,0.0010305056741155816
49,DOWNLINK,0,"16,18,",CNTRL-CTS,0.001031380615508779
50,UPLINK,16,0,DATA-ULDATA,0.001031380615508779
51,UPLINK,18,0,DATA-ULDATA,0.0010331122071384556
52,DOWNLINK,0,"16,18,",CNTRL-ACK,0.001034843798768132
53,DOWNLINK,0,"9,22,",CNTRL-CTA,0.001034843798768132
54,UPLINK,22,0,CNTRL-RTS,0.001034858285804398
55,DOWNLINK,0,"22,",CNTRL-CTS,0.0010357663188982039
56,UPLINK,22,0,DATA-ULDATA,0.0010357663188982039
57,DOWNLINK,0,"22,",CNTRL-ACK,0.0010374979105278804
59,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.0010384204306579524
60,UPLINK,2,0,CNTRL-RTS,0.0010384630144877863
61,UPLINK,17,0,CNTRL-RTS,0.001038468320113672
62,DOWNLINK,0,"2,17,",CNTRL-CTS,0.0010393429507880242
63,UPLINK,2,0,DATA-ULDATA,0.0010393429507880242
64,UPLINK,17,0,DATA-ULDATA,0.0010410745424177007
65,DOWNLINK,0,"2,17,",CNTRL-ACK,0.0010428061340473772
67,DOWNLINK,0,"25,",CNTRL-CTA,0.0010437286541774493
68,UPLINK,25,0,CNTRL-RTS,0.001043768460903835
69,DOWNLINK,0,"25,",CNTRL-CTS,0.001044651174307521
70,UPLINK,25,0,DATA-ULDATA,0.001044651174307521
71,DOWNLINK,0,"25,",CNTRL-ACK,0.0010463827659371976
72,DOWNLINK,0,"7,",CNTRL-CTA,0.0010463827659371976
73,UPLINK,7,0,CNTRL-RTS,0.0010464351998759698
74,DOWNLINK,0,"7,",CNTRL-CTS,0.0010473052860672694
75,UPLINK,7,0,DATA-ULDATA,0.0010473052860672694
76,DOWNLINK,0,"7,",CNTRL-ACK,0.0010490368776969459
86,DOWNLINK,0,"19,",CNTRL-CTA,0.0010573395588675942
87,UPLINK,19,0,CNTRL-RTS,0.0010573790284866744
88,DOWNLINK,0,"19,",CNTRL-CTS,0.001058262078997666
89,UPLINK,19,0,DATA-ULDATA,0.001058262078997666
90,DOWNLINK,0,"19,",CNTRL-ACK,0.0010599936706273425
93,DOWNLINK,0,"12,21,",CNTRL-CTA,0.0010618387108874865
94,UPLINK,21,0,CNTRL-RTS,0.0010618628301083794
95,DOWNLINK,0,"21,",CNTRL-CTS,0.0010627612310175583
96,UPLINK,21,0,DATA-ULDATA,0.0010627612310175583
97,DOWNLINK,0,"21,",CNTRL-ACK,0.0010644928226472348
104,DOWNLINK,0,"8,10,11,",CNTRL-CTA,0.001070027943427667
105,UPLINK,10,0,CNTRL-RTS,0.0010700497270169885
106,UPLINK,11,0,CNTRL-RTS,0.0010700811036901418
107,DOWNLINK,0,"10,11,",CNTRL-CTS,0.0010709504635577388
108,UPLINK,10,0,DATA-ULDATA,0.0010709504635577388
109,UPLINK,11,0,DATA-ULDATA,0.0010726820551874153
110,DOWNLINK,0,"10,11,",CNTRL-ACK,0.0010744136468170918
118,DOWNLINK,0,"2,13,14,17,",CNTRL-CTA,0.001080871287727596
119,UPLINK,2,0,CNTRL-RTS,0.00108091387155743
120,UPLINK,14,0,CNTRL-RTS,0.001080918356599725
121,DOWNLINK,0,"2,14,",CNTRL-CTS,0.0010817938078576679
122,UPLINK,2,0,DATA-ULDATA,0.0010817938078576679
123,UPLINK,14,0,DATA-ULDATA,0.0010835253994873444
124,DOWNLINK,0,"2,14,",CNTRL-ACK,0.0010852569911170209
135,DOWNLINK,0,"23,",CNTRL-CTA,0.0010944821924177412
136,UPLINK,23,0,CNTRL-RTS,0.001094536856581098
